Acceleration,Method,ScanID,SSFD (mse),SSFD (mae),SSFD (pdl),SSFD (dists)
2,UNet,1000017,4.245724201202393,0.8829178810119629,216.7201385498047,-281.706298828125
2,UNet,1000026,4.576750755310059,0.9292274713516235,217.29734802246094,-284.7532958984375
2,UNet,1000041,2.7357096672058105,0.6440999507904053,138.06222534179688,-295.7314453125
2,UNet,1000071,3.9747378826141357,0.8148189783096313,151.54981994628906,-292.53564453125
2,UNet,1000107,2.0297207832336426,0.5643323659896851,132.41392517089844,-304.032958984375
2,UNet,1000153,2.5461924076080322,0.6191222667694092,134.93017578125,-298.8082275390625
2,UNet,1000178,4.418341636657715,0.9022433161735535,197.70367431640625,-287.6661376953125
2,UNet,1000196,5.172432899475098,0.995227038860321,186.84898376464844,-282.41015625
2,UNet,1000206,5.387362480163574,0.9865092039108276,225.66085815429688,-280.6763000488281
2,UNet,1000264,3.611889600753784,0.7921449542045593,148.3553009033203,-291.65087890625
2,UNet,1000292,4.437129020690918,0.9312145113945007,235.39102172851562,-282.7004089355469
2,UNet,1000314,3.1202125549316406,0.7382808923721313,159.05487060546875,-297.86962890625
2,UNet,1000323,4.649422645568848,0.9539345502853394,196.18841552734375,-286.7032775878906
2,UNet,1000344,4.03940486907959,0.8524280786514282,203.83187866210938,-289.13116455078125
2,UNet,1000432,2.6946401596069336,0.6446689367294312,142.51864624023438,-298.46649169921875
2,UNet,1000464,5.552695274353027,1.0043162107467651,193.71942138671875,-281.9396057128906
2,UNet,1000538,3.992189407348633,0.8555900454521179,183.96653747558594,-290.2899475097656
2,UNet,1000591,3.7716498374938965,0.8171520233154297,158.5405731201172,-292.240234375
2,UNet,1000697,2.6891472339630127,0.6066133379936218,155.92372131347656,-298.66729736328125
2,UNet,1000735,3.1850533485412598,0.6713653802871704,149.34796142578125,-296.1810302734375
2,UNet,1000759,2.516331434249878,0.5992324948310852,136.8504638671875,-298.36785888671875
2,UNet,1000769,2.520237922668457,0.6105186343193054,140.23641967773438,-299.136474609375
2,UNet,1000891,2.382110834121704,0.5942947268486023,134.1298370361328,-298.8460693359375
2,UNet,1000899,5.400616645812988,0.9771870374679565,192.3243408203125,-280.2335205078125
2,UNet,1001064,2.3640894889831543,0.5995672941207886,135.62867736816406,-301.5859069824219
2,UNet,1001090,4.361850738525391,0.8382279276847839,178.54843139648438,-292.6331787109375
2,UNet,1001096,2.5742621421813965,0.6310576796531677,139.53392028808594,-297.0901794433594
2,UNet,1001104,2.0302937030792236,0.5198208689689636,122.65039825439453,-301.725341796875
