Acceleration,Method,ScanID,CoilNoiseIncrease,SSIM,PSNR,NRMSE,HFEN,VIF,NQM,SSFD,LPIPS (VGG-16),ResNet50 (RadImageNet)
2,UNet,1000017,0,0.8125900626182556,31.92367172241211,0.14142240583896637,0.37303364276885986,0.15546110698656176,19.762818279315482,4.245724201202393,0.16746702790260315,0.5528241395950317
2,UNet,1000017,1,0.7899580597877502,31.146533966064453,0.1547410488128662,0.3876533508300781,0.14870041768243275,18.031390865965303,4.656692028045654,0.1788039207458496,0.6205535531044006
2,UNet,1000017,2,0.7373471856117249,30.272315979003906,0.16807103157043457,0.4101569354534149,0.13779190349564646,17.9219179033738,5.607666969299316,0.19394376873970032,0.6958355903625488
2,UNet,1000017,3,0.6682493090629578,29.012357711791992,0.1925353854894638,0.4449024498462677,0.12696764747949524,17.163936378778867,6.992217063903809,0.21337273716926575,0.8606294393539429
2,UNet,1000026,0,0.7929006814956665,31.237972259521484,0.12036836892366409,0.3919539749622345,0.16036571161240337,22.005332447622248,4.576750755310059,0.16973058879375458,0.5282692313194275
2,UNet,1000026,1,0.7696431279182434,30.633041381835938,0.1287848949432373,0.4085248112678528,0.15322316235642347,21.160240449725546,5.042162895202637,0.18248964846134186,0.5758702158927917
2,UNet,1000026,2,0.7203211188316345,29.56896209716797,0.14392559230327606,0.4309508502483368,0.14108891777153648,20.74835507501512,6.390659332275391,0.19731035828590393,0.6498416662216187
2,UNet,1000026,3,0.6721453666687012,28.461925506591797,0.17194822430610657,0.4721015393733978,0.13056165735619082,17.40115199351465,8.004359245300293,0.20881322026252747,0.7837419509887695
2,UNet,1000041,0,0.8937487006187439,32.65975570678711,0.07541441917419434,0.33395713567733765,0.16140033003112256,22.503573184370307,2.7357096672058105,0.15718486905097961,0.724700927734375
2,UNet,1000041,1,0.8872350454330444,31.207887649536133,0.08910943567752838,0.3386245369911194,0.15914744213723644,18.91287662013443,3.126742362976074,0.1634717583656311,0.8182620406150818
2,UNet,1000041,2,0.8813950419425964,31.17600440979004,0.0895041897892952,0.3398089110851288,0.15826008782390882,18.899770072345532,3.1513490676879883,0.16486452519893646,0.8243634700775146
2,UNet,1000041,3,0.8727169632911682,31.253246307373047,0.08912390470504761,0.34150755405426025,0.1556709204460946,18.897780219842474,3.2438807487487793,0.16536344587802887,0.8412443399429321
2,UNet,1000071,0,0.8976393342018127,34.47480010986328,0.0771925076842308,0.3831658363342285,0.1556917427627432,21.517065734310865,3.9747378826141357,0.17563913762569427,0.9599534273147583
2,UNet,1000071,1,0.886510968208313,34.314964294433594,0.07801278680562973,0.3886723816394806,0.1543264465196608,21.39358047987745,4.037524700164795,0.17883850634098053,0.9912276268005371
2,UNet,1000071,2,0.8738471269607544,34.065574645996094,0.08026406913995743,0.3929451107978821,0.1510739073673184,21.329004942169277,4.233155250549316,0.18082237243652344,0.9950473308563232
2,UNet,1000071,3,0.8528733253479004,33.6371955871582,0.08376415818929672,0.3999744951725006,0.14820723380976072,21.33757198731253,4.529284954071045,0.1891436129808426,1.0458675622940063
2,UNet,1000107,0,0.8878636956214905,32.893375396728516,0.06686671078205109,0.3345886170864105,0.16506617536756982,23.52570823514757,2.0297207832336426,0.16245776414871216,0.8149942755699158
2,UNet,1000107,1,0.8765117526054382,32.66898727416992,0.06861410290002823,0.3396126329898834,0.16320756724397267,23.105255027896845,2.0872628688812256,0.16542233526706696,0.8309347033500671
2,UNet,1000107,2,0.8591763973236084,32.350067138671875,0.07130343466997147,0.34378981590270996,0.15937693306918901,22.868320756491187,2.1343181133270264,0.1709822118282318,0.8641198873519897
2,UNet,1000107,3,0.8347737789154053,31.862842559814453,0.07567164301872253,0.3498821258544922,0.15394607986669837,22.5150963619841,2.336293935775757,0.1733350157737732,0.9397212266921997
2,UNet,1000153,0,0.8754993081092834,32.63003921508789,0.08038294315338135,0.31076619029045105,0.16239015465992532,22.56902360931186,2.5461924076080322,0.14459598064422607,0.659757137298584
2,UNet,1000153,1,0.8612951040267944,32.32969665527344,0.08252925425767899,0.3154486119747162,0.16012033013573623,22.105227171682003,2.6386497020721436,0.1534210592508316,0.6871844530105591
2,UNet,1000153,2,0.8447476625442505,32.03724670410156,0.08574098348617554,0.3189023435115814,0.15608786304156727,21.887757632488135,2.7789177894592285,0.15846854448318481,0.7328866720199585
2,UNet,1000153,3,0.817832887172699,31.626934051513672,0.0892595574259758,0.32514259219169617,0.15133095179178782,21.885414047461733,2.9342589378356934,0.1663747876882553,0.8069993853569031
