Acceleration,Method,ScanID,SSFD (layer 1),SSFD (layer 3),SSFD (layer 5),SSFD (layer 7),SSFD (layer 9)
2,UNet,1000017,0.032394587993621826,0.8076556324958801,1.9220796823501587,4.245724201202393,4.849003791809082
2,UNet,1000026,0.028279151767492294,0.6950657367706299,1.7228730916976929,4.576750755310059,5.864903450012207
2,UNet,1000041,0.009757899679243565,0.32741743326187134,0.9445050358772278,2.7357096672058105,2.242593288421631
2,UNet,1000071,0.012090479955077171,0.434110552072525,1.1812771558761597,3.9747378826141357,3.7484874725341797
2,UNet,1000107,0.007753153331577778,0.23424279689788818,0.6871035099029541,2.0297207832336426,1.4675753116607666
2,UNet,1000153,0.011169357225298882,0.32673317193984985,0.9186379313468933,2.5461924076080322,1.8708422183990479
2,UNet,1000178,0.02850077673792839,0.6999260783195496,1.7509876489639282,4.418341636657715,5.433790683746338
2,UNet,1000196,0.03560524433851242,0.6588996052742004,1.7556438446044922,5.172432899475098,5.425689220428467
2,UNet,1000206,0.01844574697315693,0.6868441104888916,2.0094361305236816,5.387362480163574,6.048162460327148
2,UNet,1000264,0.011571005918085575,0.4346061646938324,1.1874545812606812,3.611889600753784,3.2044944763183594
2,UNet,1000292,0.03305112570524216,0.8008171916007996,1.8765738010406494,4.437129020690918,5.581425666809082
2,UNet,1000314,0.008260446600615978,0.27878159284591675,0.9384050369262695,3.1202125549316406,2.8896660804748535
2,UNet,1000323,0.015792347490787506,0.3929639756679535,1.4317680597305298,4.649422645568848,5.296350002288818
2,UNet,1000344,0.0286774430423975,0.6530621647834778,1.6605417728424072,4.03940486907959,4.853330612182617
2,UNet,1000432,0.012064056470990181,0.3469542860984802,0.9480608105659485,2.6946401596069336,2.3103485107421875
2,UNet,1000464,0.0172949880361557,0.4892215132713318,1.6874561309814453,5.552695274353027,5.6882123947143555
2,UNet,1000538,0.017518039792776108,0.6084692478179932,1.4046056270599365,3.992189407348633,5.340622425079346
2,UNet,1000591,0.016163114458322525,0.5936330556869507,1.5712131261825562,3.7716498374938965,3.9370994567871094
2,UNet,1000697,0.0061488025821745396,0.27305856347084045,0.8605114221572876,2.6891472339630127,1.8214685916900635
2,UNet,1000735,0.00957444030791521,0.40935057401657104,1.11868155002594,3.1850533485412598,2.555823564529419
2,UNet,1000759,0.007889932952821255,0.2992769479751587,0.8368010520935059,2.516331434249878,2.0923495292663574
2,UNet,1000769,0.00827841553837061,0.29913651943206787,0.8516336679458618,2.520237922668457,2.083341598510742
2,UNet,1000891,0.011873987503349781,0.3705686330795288,0.9264205694198608,2.382110834121704,2.271171808242798
2,UNet,1000899,0.03786897659301758,0.7409279346466064,2.0080668926239014,5.400616645812988,5.734393119812012
2,UNet,1001064,0.010094030760228634,0.29163414239883423,0.8824892044067383,2.3640894889831543,1.9406101703643799
2,UNet,1001090,0.015109466388821602,0.5561333894729614,1.5722272396087646,4.361850738525391,4.444803714752197
2,UNet,1001096,0.01092789601534605,0.3413395583629608,0.9643176794052124,2.5742621421813965,1.9485294818878174
2,UNet,1001104,0.008740896359086037,0.3153635561466217,0.7630635499954224,2.0302937030792236,1.556317687034607
2,UNet,1001119,0.023758308961987495,0.6327275037765503,1.765594244003296,5.206717491149902,6.208266258239746
2,UNet,1001140,0.025924857705831528,0.6183658242225647,1.442028284072876,3.3702034950256348,3.706897020339966
2,UNet,1001144,0.015246960334479809,0.5216565132141113,1.273511290550232,3.843733310699463,4.4487996101379395
2,UNet,1001159,0.04233403131365776,1.0090312957763672,2.567526340484619,6.438261985778809,8.276681900024414
2,UNet,1001168,0.00830155797302723,0.31973907351493835,0.8107102513313293,2.1398415565490723,1.3374956846237183
2,UNet,1001170,0.008795727975666523,0.2989256978034973,0.9139177203178406,2.572654962539673,1.9139331579208374
2,UNet,1001184,0.010162582620978355,0.35039716958999634,1.0313704013824463,3.143709897994995,2.5507683753967285
2,UNet,1001275,0.03777165710926056,0.899471640586853,2.1498799324035645,5.211468696594238,5.895630836486816
2,UNet,1001381,0.007101074792444706,0.34477266669273376,1.2658852338790894,4.320812225341797,3.6289279460906982
2,UNet,1001651,0.013389858417212963,0.5314831733703613,1.2915632724761963,3.5562846660614014,4.696629524230957
2,UNet,1001655,0.015353289432823658,0.5472357869148254,1.6850006580352783,4.35363245010376,3.9607949256896973
2,UNet,1001687,0.010460438206791878,0.32969576120376587,0.9084168672561646,2.604936122894287,2.003321409225464
2,UNet,1001759,0.007404324598610401,0.3156959116458893,0.8689500689506531,2.5901036262512207,2.2124316692352295
2,UNet,1001763,0.010658323764801025,0.3658328652381897,1.325239896774292,4.400251388549805,3.914216995239258
2,UNet,1001798,0.03312676027417183,0.8551902770996094,2.0232627391815186,5.069035530090332,6.714369297027588
2,UNet,1001850,0.01814842037856579,0.579899251461029,1.6145128011703491,4.0327887535095215,4.455986022949219
2,UNet,1001851,0.017014287412166595,0.612735390663147,1.572679877281189,4.614300727844238,5.542734146118164
2,UNet,1001938,0.030520658940076828,0.7160493731498718,1.9629313945770264,5.500491142272949,5.870880603790283
2,UNet,1001959,0.025479581207036972,0.640853226184845,1.790576696395874,4.751776218414307,5.6711626052856445
2,UNet,1001995,0.013559544458985329,0.4100869596004486,1.1397459506988525,3.025801658630371,2.4664173126220703
2,UNet,1001997,0.03953671082854271,0.8859549760818481,1.9243297576904297,4.744107723236084,5.387027740478516
2,UNet,1002007,0.018103282898664474,0.5583887100219727,1.4429417848587036,3.959733486175537,3.6510837078094482
2,UNet,1002035,0.007244700100272894,0.2428562343120575,0.6909360885620117,2.05073618888855,1.5565648078918457
2,UNet,1002274,0.013457009568810463,0.41884884238243103,1.44944429397583,4.54475212097168,4.353248596191406
2,UNet,1002351,0.015625756233930588,0.4496733248233795,1.376435399055481,3.9397048950195312,3.347834348678589
2,UNet,1002380,0.03229502588510513,0.8304398655891418,2.0151278972625732,5.423154830932617,6.920729160308838
2,UNet,1002382,0.006502286531031132,0.2571468651294708,0.7287265062332153,2.182060718536377,1.7583194971084595
2,UNet,1002412,0.024739237502217293,0.7786647081375122,2.0527849197387695,5.070140838623047,6.4602952003479
2,UNet,1002417,0.015693625435233116,0.43283605575561523,1.6079113483428955,4.781099796295166,4.5233941078186035
2,UNet,1002451,0.034367337822914124,0.6590887904167175,1.830566167831421,4.753669738769531,5.563127517700195
2,UNet,1002515,0.058808546513319016,0.8547590970993042,2.1827099323272705,5.452425479888916,6.629286289215088
2,UNet,1002526,0.00562339648604393,0.2344522774219513,0.8439558744430542,2.8348822593688965,2.710911273956299
2,UNet,1002538,0.04833999276161194,0.8017597198486328,2.1122324466705322,5.354825019836426,6.745823860168457
4,UNet,1000017,0.06233704090118408,1.4921543598175049,3.740863800048828,9.786736488342285,12.515534400939941
4,UNet,1000026,0.05291156843304634,1.3262426853179932,3.534924268722534,10.551660537719727,12.807217597961426
4,UNet,1000041,0.026091739535331726,0.8417059183120728,2.218842029571533,6.8436689376831055,6.391917705535889
4,UNet,1000071,0.029822558164596558,0.9237239956855774,2.5155138969421387,8.010579109191895,7.257312774658203
4,UNet,1000107,0.017791520804166794,0.7259176969528198,2.189840793609619,6.892844200134277,4.682098388671875
4,UNet,1000153,0.02911822870373726,0.9714056253433228,2.6363131999969482,7.615785121917725,6.166808128356934
4,UNet,1000178,0.05495360493659973,1.384140133857727,3.696086883544922,10.726234436035156,13.669346809387207
4,UNet,1000196,0.06864174455404282,1.360123872756958,3.552001953125,10.493827819824219,10.685099601745605
4,UNet,1000206,0.03804927319288254,1.2518761157989502,3.7715225219726562,10.614618301391602,12.353607177734375
4,UNet,1000264,0.02374117262661457,0.8790048360824585,2.4517111778259277,8.347742080688477,9.289968490600586
4,UNet,1000292,0.06567477434873581,1.474570393562317,3.581881284713745,9.150612831115723,11.175344467163086
4,UNet,1000314,0.020014185458421707,0.7369054555892944,2.2697513103485107,7.522767066955566,7.5771589279174805
4,UNet,1000323,0.025755513459444046,0.8187831044197083,2.9088239669799805,9.5118989944458,10.447465896606445
4,UNet,1000344,0.05955398082733154,1.3580728769302368,3.6343979835510254,9.866385459899902,11.947649002075195
4,UNet,1000432,0.03136926144361496,0.8791543841362,2.405721664428711,6.92254114151001,5.678162097930908
4,UNet,1000464,0.036612771451473236,1.185606598854065,3.4884018898010254,11.192153930664062,11.066781997680664
4,UNet,1000538,0.033651210367679596,1.1669001579284668,2.8972063064575195,9.179704666137695,12.740300178527832
4,UNet,1000591,0.04078300669789314,1.3070274591445923,3.587054491043091,10.431923866271973,15.472898483276367
4,UNet,1000697,0.015895599499344826,0.8057575225830078,2.3126254081726074,7.374139308929443,5.471549987792969
4,UNet,1000735,0.023876111954450607,1.057706594467163,2.767554759979248,9.017956733703613,6.7864990234375
4,UNet,1000759,0.02543456479907036,0.9364856481552124,2.4324886798858643,6.916412353515625,5.711358070373535
4,UNet,1000769,0.026362966746091843,0.9365517497062683,2.509446382522583,7.374096870422363,6.1989850997924805
4,UNet,1000891,0.027233799919486046,0.919681191444397,2.31266450881958,6.576003074645996,6.0721964836120605
4,UNet,1000899,0.07749650627374649,1.5141791105270386,4.037201404571533,11.294306755065918,12.309123992919922
4,UNet,1001064,0.03164760023355484,0.9443003535270691,2.791377305984497,8.129647254943848,7.115584373474121
