Acceleration,Method,ScanID,SSIM,PSNR,NRMSE,HFEN,VIF,NQM,SSFD,LPIPS (VGG-16),LPIPS (AlexNet),VGG-16,DISTS,ResNet50 (ImageNet),ResNet50 (RadImageNet),ResNet50 (random)
4,Unrolled,1001140,0.7868549823760986,32.815467834472656,0.13496331870555878,0.4303535521030426,0.1754123190592369,20.50497051262374,6.186331748962402,0.24494034051895142,0.10914409160614014,2.99509859085083,0.13557922840118408,0.00018511657253839076,1.1061244010925293,0.010704600252211094
4,Unrolled,1001144,0.7674056887626648,29.714580535888672,0.1344185471534729,0.4024442434310913,0.17962572545006095,19.141462168623626,5.443068504333496,0.23564405739307404,0.09776142984628677,2.911892890930176,0.1251468062400818,0.00016508952830918133,0.9953943490982056,0.038662947714328766
4,Unrolled,1001159,0.6782340407371521,26.71832847595215,0.28917941451072693,0.5515889525413513,0.13462632996523693,12.197236053902786,9.012361526489258,0.2615005671977997,0.13846254348754883,3.300245761871338,0.14883416891098022,0.0001889415580080822,0.9737251400947571,0.08788525313138962
4,Unrolled,1001168,0.7719292044639587,28.35076141357422,0.11862455308437347,0.3700997531414032,0.17041301459414882,18.765953329023684,2.6407642364501953,0.21340151131153107,0.08645562827587128,2.627021312713623,0.11940521001815796,0.00016007083468139172,1.2101563215255737,0.03867988660931587
4,Unrolled,1001170,0.8683133721351624,32.615386962890625,0.08428647369146347,0.32060012221336365,0.20425732736365548,22.63725564780743,2.5067198276519775,0.18048951029777527,0.06613557040691376,2.1353759765625,0.09051501750946045,0.00012296295608393848,1.0259724855422974,0.02398374304175377
4,Unrolled,1001184,0.8933243155479431,34.7640266418457,0.07677500694990158,0.3690989315509796,0.20923387320767994,23.337420282525784,3.6657702922821045,0.20633211731910706,0.07799369841814041,2.4738659858703613,0.13272929191589355,0.0001703171437839046,1.1704554557800293,0.010728183202445507
4,Unrolled,1001275,0.6817590594291687,27.81827163696289,0.21565081179141998,0.48634466528892517,0.1475809343333703,15.066239503208738,7.552406311035156,0.2582855820655823,0.1526908427476883,3.2122902870178223,0.14130520820617676,0.00019188479927834123,1.1574403047561646,0.05904614180326462
4,Unrolled,1001381,0.8958818912506104,34.99628448486328,0.07348769158124924,0.36972776055336,0.19566562950779304,24.39091085429525,4.4239301681518555,0.22552353143692017,0.10628906637430191,2.639082908630371,0.14909029006958008,0.0001995246420847252,1.2796813249588013,0.010535109788179398
4,Unrolled,1001651,0.7754100561141968,32.758758544921875,0.10113183408975601,0.34097176790237427,0.1791846833011103,24.351938348955336,6.418385982513428,0.23727357387542725,0.09084893018007278,2.897486448287964,0.12213265895843506,0.00015954348782543093,0.9669493436813354,0.011590922251343727
4,Unrolled,1001655,0.8554946184158325,30.09731674194336,0.16944313049316406,0.38444647192955017,0.18507572806072986,17.195221708602777,6.264949798583984,0.21926374733448029,0.08356417715549469,2.652770757675171,0.14051562547683716,0.00016783237515483052,1.1889973878860474,0.04164489358663559
4,Unrolled,1001687,0.8172779679298401,27.837047576904297,0.12710238993167877,0.39207032322883606,0.20173336387727406,19.538426589773184,4.1940531730651855,0.226541206240654,0.10740561038255692,2.685739040374756,0.13145458698272705,0.00017778323672246188,1.3261147737503052,0.06863673776388168
4,Unrolled,1001759,0.8409000039100647,31.99646759033203,0.07244983315467834,0.33828455209732056,0.20065018926752157,23.18230777984442,2.501615524291992,0.19274161756038666,0.086372509598732,2.311676502227783,0.1094856858253479,0.00012369554315228015,0.9462313652038574,0.02152387984097004
4,Unrolled,1001763,0.8712143898010254,32.03528594970703,0.0833061933517456,0.39801332354545593,0.187419421519342,22.99625226865384,4.566604137420654,0.2298586070537567,0.09486459940671921,2.708207368850708,0.13468682765960693,0.00018881769210565835,1.3165643215179443,0.022133629769086838
4,Unrolled,1001798,0.7089027762413025,30.810760498046875,0.16989858448505402,0.42788374423980713,0.15439694296402903,19.463676612744298,6.983542442321777,0.24035440385341644,0.12362721562385559,2.988750457763672,0.12727200984954834,0.000182162897544913,1.1251866817474365,0.017305560410022736
4,Unrolled,1001850,0.8241525888442993,34.272804260253906,0.12184225767850876,0.36230626702308655,0.16944717850785762,20.557789529939043,5.826973915100098,0.25290441513061523,0.10123542696237564,3.0495805740356445,0.14290893077850342,0.00017971722991205752,1.231360912322998,0.009034941904246807
4,Unrolled,1001851,0.795921802520752,32.207923889160156,0.11955402791500092,0.3237256109714508,0.1848767317424128,21.95934640209613,5.875185489654541,0.21697871387004852,0.0958234965801239,2.673614978790283,0.11437654495239258,0.00015493201499339193,1.0151560306549072,0.018039889633655548
4,Unrolled,1001938,0.7508120536804199,30.81802749633789,0.12270504236221313,0.4996654987335205,0.15648968047897527,19.505900067537688,7.084733009338379,0.26740145683288574,0.12649282813072205,3.3118889331817627,0.1474820375442505,0.00021627753449138254,1.4662121534347534,0.016512110829353333
4,Unrolled,1001959,0.7457320094108582,30.416152954101562,0.1423882246017456,0.4858006536960602,0.16089181836457164,19.359202162075675,6.488691806793213,0.25600573420524597,0.13159440457820892,3.163278102874756,0.14215433597564697,0.00019630210590548813,1.2863740921020508,0.0151474978774786
4,Unrolled,1001995,0.7970547676086426,24.247379302978516,0.22827550768852234,0.39134469628334045,0.1777621624375696,13.819542312722938,4.014349937438965,0.22718341648578644,0.098606176674366,2.793203115463257,0.13454705476760864,0.00016856408910825849,1.2260186672210693,0.1544780433177948
4,Unrolled,1001997,0.6938664317131042,29.518396377563477,0.17314545810222626,0.5052258968353271,0.15002817225589934,17.367290140164886,6.465236663818359,0.2631497085094452,0.13221989572048187,3.2569339275360107,0.15731024742126465,0.00019847704970743507,1.1174293756484985,0.029470687732100487
4,Unrolled,1002007,0.7899766564369202,30.074607849121094,0.14218661189079285,0.4363454282283783,0.18325929766398846,18.74031243090958,5.268299102783203,0.2307954728603363,0.09815604984760284,2.812246084213257,0.1234329342842102,0.0001749139337334782,1.0566518306732178,0.03175511583685875
4,Unrolled,1002035,0.7943225502967834,31.71734619140625,0.0714341551065445,0.3498094379901886,0.19663222456662732,25.477707832199286,3.1042966842651367,0.2203948199748993,0.0894734188914299,2.5860559940338135,0.12760019302368164,0.00016702405991964042,1.4133186340332031,0.01749543845653534
