Acceleration,Method,ScanID,SSFD,SSFD (FS),SSFD (non-FS)
2,UNet,1000017,4.245724201202393,1.3687660694122314,0.5668190717697144
2,UNet,1000026,4.576750755310059,1.3194037675857544,0.5850423574447632
2,UNet,1000041,2.7357096672058105,0.6567724943161011,0.35519272089004517
2,UNet,1000071,3.9747378826141357,1.0009479522705078,0.9679945707321167
2,UNet,1000107,2.0297207832336426,0.6003066897392273,0.34316903352737427
2,UNet,1000153,2.5461924076080322,0.5982424020767212,0.3028643727302551
2,UNet,1000178,4.418341636657715,1.2011739015579224,0.5395075082778931
2,UNet,1000196,5.172432899475098,1.3020869493484497,0.8110262155532837
2,UNet,1000206,5.387362480163574,1.7663285732269287,0.436431348323822
2,UNet,1000264,3.611889600753784,0.826707661151886,0.483182430267334
2,UNet,1000292,4.437129020690918,1.3073604106903076,0.5257644653320312
2,UNet,1000314,3.1202125549316406,0.8337786793708801,0.6054075956344604
2,UNet,1000323,4.649422645568848,1.275730848312378,1.47987961769104
2,UNet,1000344,4.03940486907959,1.0827414989471436,0.5035549402236938
2,UNet,1000432,2.6946401596069336,0.7224639058113098,0.3447568118572235
2,UNet,1000464,5.552695274353027,1.4901360273361206,1.6785123348236084
2,UNet,1000538,3.992189407348633,1.083182454109192,0.7141504287719727
2,UNet,1000591,3.7716498374938965,1.083072304725647,0.5514099597930908
2,UNet,1000697,2.6891472339630127,0.6369439363479614,0.38057857751846313
2,UNet,1000735,3.1850533485412598,0.8344300389289856,0.4415200352668762
2,UNet,1000759,2.516331434249878,0.5751451253890991,0.31369534134864807
2,UNet,1000769,2.520237922668457,0.6346350908279419,0.3276754915714264
2,UNet,1000891,2.382110834121704,0.667719841003418,0.42703351378440857
2,UNet,1000899,5.400616645812988,1.213731050491333,0.7065332531929016
2,UNet,1001064,2.3640894889831543,0.7349149584770203,0.3325190246105194
2,UNet,1001090,4.361850738525391,1.1147255897521973,0.4481746554374695
2,UNet,1001096,2.5742621421813965,0.7639200091362,0.35016918182373047
2,UNet,1001104,2.0302937030792236,0.571916937828064,0.33242112398147583
2,UNet,1001119,5.206717491149902,1.2345722913742065,0.7981511950492859
2,UNet,1001140,3.3702034950256348,1.0073901414871216,0.45517539978027344
2,UNet,1001144,3.843733310699463,1.0890198945999146,0.6604942083358765
2,UNet,1001159,6.438261985778809,2.1175858974456787,0.7834922075271606
2,UNet,1001168,2.1398415565490723,0.5526694655418396,0.26146551966667175
2,UNet,1001170,2.572654962539673,0.6100939512252808,0.34683293104171753
2,UNet,1001184,3.143709897994995,0.8927078247070312,0.4797269403934479
2,UNet,1001275,5.211468696594238,1.6665643453598022,0.6232971549034119
2,UNet,1001381,4.320812225341797,0.8771036267280579,0.6095805168151855
2,UNet,1001651,3.5562846660614014,1.0176219940185547,0.5373804569244385
2,UNet,1001655,4.35363245010376,1.2999805212020874,0.43695658445358276
2,UNet,1001687,2.604936122894287,0.850234866142273,0.44578033685684204
2,UNet,1001759,2.5901036262512207,0.7194241285324097,0.8421357870101929
2,UNet,1001763,4.400251388549805,1.316878318786621,0.7157109379768372
2,UNet,1001798,5.069035530090332,1.542860746383667,0.5665479898452759
2,UNet,1001850,4.0327887535095215,1.1153228282928467,0.45051226019859314
2,UNet,1001851,4.614300727844238,1.2670538425445557,0.6117526888847351
2,UNet,1001938,5.500491142272949,1.2036889791488647,0.6437652111053467
2,UNet,1001959,4.751776218414307,1.298250436782837,0.4739000201225281
2,UNet,1001995,3.025801658630371,0.8610857129096985,0.38830921053886414
2,UNet,1001997,4.744107723236084,1.491466999053955,0.6568276882171631
2,UNet,1002007,3.959733486175537,1.076933741569519,0.46760740876197815
2,UNet,1002035,2.05073618888855,0.5921756625175476,0.2952133119106293
2,UNet,1002274,4.54475212097168,1.0299742221832275,0.7712615728378296
2,UNet,1002351,3.9397048950195312,1.2023175954818726,0.6786814332008362
2,UNet,1002380,5.423154830932617,1.826134443283081,0.7434528470039368
2,UNet,1002382,2.182060718536377,0.5205180644989014,0.28340834379196167
2,UNet,1002412,5.070140838623047,1.755009651184082,0.5596562623977661
2,UNet,1002417,4.781099796295166,1.275825023651123,1.4979782104492188
2,UNet,1002451,4.753669738769531,1.0705554485321045,0.6450390219688416
2,UNet,1002515,5.452425479888916,1.0314443111419678,0.6217479705810547
2,UNet,1002526,2.8348822593688965,0.624347984790802,0.4126893877983093
2,UNet,1002538,5.354825019836426,1.1493065357208252,0.7624174356460571
4,UNet,1000017,9.786736488342285,4.016359329223633,1.491000771522522
4,UNet,1000026,10.551660537719727,3.6158199310302734,1.4231599569320679
4,UNet,1000041,6.8436689376831055,1.8429393768310547,0.9417856335639954
4,UNet,1000071,8.010579109191895,2.7180583477020264,1.3096283674240112
4,UNet,1000107,6.892844200134277,1.9105989933013916,1.0381907224655151
